GEOID,sovi,rank,state_id
g06001,-2.456297875585533,48.0,g06
g06003,-4.709126226507398,58.0,g06
g06005,0.5359477799221262,20.0,g06
g06007,-0.13466929889397117,26.0,g06
g06009,-3.1315418280304064,52.0,g06
g06011,5.311959412369448,3.0,g06
g06013,-3.2474738397074017,53.0,g06
g06015,2.8430158029446746,10.0,g06
g06017,-4.267482149568291,56.0,g06
g06019,1.698753363658858,16.0,g06
g06021,2.741234974510382,11.0,g06
g06023,-1.670127567523291,44.0,g06
g06025,3.8443780895372313,6.0,g06
g06027,-0.6629368780438318,31.0,g06
g06029,2.4407951887031363,12.0,g06
g06031,5.500011464507817,1.0,g06
g06033,0.8243768051189516,19.0,g06
g06035,4.631619745304939,5.0,g06
g06037,0.21638845932439738,23.0,g06
g06039,3.8315142000185682,7.0,g06
g06041,-1.4792090666045175,42.0,g06
g06043,-0.08858299401474934,25.0,g06
g06045,0.29892050259091457,22.0,g06
g06047,2.3938121674985595,13.0,g06
g06049,5.1749218573413875,4.0,g06
g06051,-4.295685020893943,57.0,g06
g06053,3.28597914054324,9.0,g06
g06055,1.7300163654480707,15.0,g06
g06057,-2.768976127555998,50.0,g06
g06059,-0.784184340601051,32.0,g06
g06061,-4.057573814339593,55.0,g06
g06063,-0.9346881085281366,34.0,g06
g06065,-1.7800025388490037,45.0,g06
g06067,-2.8995737258677723,51.0,g06
g06069,-0.01624985644799637,24.0,g06
g06071,-2.584778782866626,49.0,g06
g06073,-1.5653842046282458,43.0,g06
g06075,5.425293247241407,2.0,g06
g06077,-0.7921730194358694,33.0,g06
g06079,-0.2619894691485404,29.0,g06
g06081,-1.278391896894196,40.0,g06
g06083,1.9975267758113573,14.0,g06
g06085,-1.2489458278497803,39.0,g06
g06087,-0.28041669987209783,30.0,g06
g06089,-1.0750778942611392,36.0,g06
g06091,-1.908222657219031,47.0,g06
g06093,-0.17318864869602824,27.0,g06
g06095,-3.711348404349988,54.0,g06
g06097,-1.1325307843784587,37.0,g06
g06099,0.498414600162014,21.0,g06
g06101,0.8972840222962224,18.0,g06
g06103,1.239684862437404,17.0,g06
g06105,-1.4052232534644298,41.0,g06
g06107,3.6326396791652673,8.0,g06
g06109,-0.20217909759700425,28.0,g06
g06111,-1.2385066277004966,38.0,g06
g06113,-1.8129337309400035,46.0,g06
g06115,-0.9388162495915118,35.0,g06
g13001,1.9984989711226735,27.0,g13
g13003,4.206944312486447,10.0,g13
g13005,0.9914976080209897,59.0,g13
g13007,3.2540980950180853,15.0,g13
g13009,0.03021797689501171,81.0,g13
g13011,-0.2862420946027655,90.0,g13
g13013,-2.435987169411306,130.0,g13
g13015,-3.0441965044706434,140.0,g13
g13017,1.4045387767240758,40.0,g13
g13019,1.3124291253206573,44.0,g13
g13021,-0.8582146352234392,103.0,g13
g13023,-0.541303658786631,95.0,g13
g13025,-0.4816905413159639,94.0,g13
g13027,2.0356945853775703,26.0,g13
g13029,-4.409649260673076,151.0,g13
g13031,-2.8695610217022836,137.0,g13
g13033,-0.39531094409204065,92.0,g13
g13035,-0.902222249408563,105.0,g13
g13037,8.482490260563903,1.0,g13
g13039,-4.851624645795554,156.0,g13
g13043,1.8588749111398677,30.0,g13
g13045,-2.7056165475738414,133.0,g13
g13047,-3.6639279424970117,146.0,g13
g13049,1.2647900648301738,46.0,g13
g13051,-1.8957916018938108,121.0,g13
g13053,-7.384389858153993,159.0,g13
g13055,0.9865671331320929,60.0,g13
